10:38:56 [DEBUG] (1) sled::pagecache::iterator: ordering before clearing tears: {0: 0}, max_header_stable_lsn: 0
10:38:56 [DEBUG] (1) sled::pagecache::iterator: in clean_tail_tears, found missing item in tail: None and we'll scan segments {0: 0} above lowest lsn 0
10:38:56 [DEBUG] (1) sled::pagecache::iterator: filtering out segments after detected tear at (lsn, lid) 36733
10:38:56 [DEBUG] (1) sled::pagecache::iterator: hit max_lsn 36733 in iterator, stopping
10:38:56 [DEBUG] (1) sled::pagecache::snapshot: zeroing the end of the recovered segment at lsn 0 between lids 36734 and 524287
10:38:56 [DEBUG] (1) sled::pagecache::blob_io: gc_blobs removing any blob with an lsn above 36734
10:38:56 [DEBUG] (1) sled::pagecache::segment: SA starting with tip 524288 stable -1 free {}
10:38:56 [DEBUG] (1) sled::pagecache::iobuf: starting log at recovered active offset 36734, recovered lsn 36734
10:38:56 [DEBUG] (1) sled::pagecache::iobuf: starting IoBufs with next_lsn: 36734 next_lid: 36734
10:38:56 [DEBUG] (1) sled::pagecache: load_snapshot loading pages from 0..51
10:38:56 [DEBUG] (8) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (7) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (6) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (5) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (1) sled::pagecache::iterator: ordering before clearing tears: {2147483648: 19922944}, max_header_stable_lsn: 2147483648
10:38:56 [DEBUG] (1) sled::pagecache::iterator: in clean_tail_tears, found missing item in tail: None and we'll scan segments {2147483648: 19922944} above lowest lsn 2147483648
10:38:56 [DEBUG] (1) sled::pagecache::iterator: filtering out segments after detected tear at (lsn, lid) 2148007824
10:38:56 [DEBUG] (1) sled::pagecache::iterator: hit max_lsn 2148007824 in iterator, stopping
10:38:56 [DEBUG] (1) sled::pagecache::snapshot: zeroing the end of the recovered segment at lsn 2147483648 between lids 20447121 and 20447231
10:38:56 [DEBUG] (1) sled::pagecache::blob_io: gc_blobs removing any blob with an lsn above 2148007825
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 20447232
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 20971520
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 21495808
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 838336512
10:38:56 [DEBUG] (1) sled::pagecache::segment: SA starting with tip 1169162240 stable -1 free {20447232, 20971520, 21495808, 838336512}
10:38:56 [DEBUG] (1) sled::pagecache::iobuf: starting log at recovered active offset 20447121, recovered lsn 2148007825
10:38:56 [DEBUG] (1) sled::pagecache::iobuf: starting IoBufs with next_lsn: 2148007825 next_lid: 20447121
10:38:56 [DEBUG] (1) sled::pagecache: load_snapshot loading pages from 0..143042
10:38:56 [DEBUG] (6) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (5) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (7) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (3) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (8) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (4) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (2) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (6) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (5) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (7) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (3) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (8) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (4) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (2) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (6) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (5) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (7) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (3) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (8) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (4) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (2) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (6) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (5) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (7) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (3) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (8) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (4) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (2) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (6) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (5) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (7) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (3) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (8) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (4) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (2) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (6) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (5) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (7) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (3) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (8) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (4) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (2) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (6) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (5) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
